feature,abs_coefficient_Baseline,abs_coefficient_Fairness-Aware,difference,abs_difference,percent_change,rank_change
II_hr_mean,0.8737758612085033,0.5529248933645048,-0.32085096784399847,0.32085096784399847,-36.72005396939157,1
II_peak_std_distance,0.06210966538504688,0.35692872801509173,0.29481906263004487,0.29481906263004487,474.675012862569,2
II_hrv_mean_rr,0.6408181351445935,0.3947195431353153,-0.2460985920092782,0.2460985920092782,-38.403812013738495,3
II_hr_std,0.5877619029645955,0.34678864942242243,-0.24097325354217308,0.24097325354217308,-40.99844720893554,4
II_second_deriv_max,1.4165713067418588,1.1868895259520778,-0.22968178078978108,0.22968178078978108,-16.213922990000388,5
II_spectral_rolloff,0.4947726691755714,0.2949815693616858,-0.1997910998138856,0.1997910998138856,-40.38038319829037,6
II_twave_power,1.1352303179460612,1.3327090109368291,0.19747869299076792,0.19747869299076792,17.39547383923509,7
II_mse_scale_3,0.44480373033914183,0.6202156997604524,0.1754119694213106,0.1754119694213106,39.435813464993075,8
II_peak_mean_height,0.33116755548755367,0.16036692134577957,-0.1708006341417741,0.1708006341417741,-51.575292102132885,9
II_approximate_entropy,0.9912656612421017,0.8319643256404357,-0.15930133560166604,0.15930133560166604,-16.07049873855043,10
II_spectral_kurtosis,0.5707271130689257,0.4229676904796501,-0.14775942258927555,0.14775942258927555,-25.88967988025851,11
II_skewness,0.8083037791950156,0.6691008201274105,-0.13920295906760516,0.13920295906760516,-17.22161427836139,12
II_mse_scale_1,0.20075023220828825,0.3348187243896707,0.13406849218138245,0.13406849218138245,66.7837295328735,13
II_sample_entropy,0.20075023220828825,0.3348187243896707,0.13406849218138245,0.13406849218138245,66.7837295328735,14
II_hrv_pnn50,0.3611936624110247,0.239044262046186,-0.12214940036483868,0.12214940036483868,-33.81825680873078,15
II_peak_count,0.5222244578832174,0.4004290062165059,-0.12179545166671146,0.12179545166671146,-23.32243344884195,16
II_amplitude_min,0.4336784382690629,0.31371409112007026,-0.11996434714899262,0.11996434714899262,-27.66205015867131,17
II_spectral_spread,0.26076326748621304,0.14397893218863694,-0.11678433529757609,0.11678433529757609,-44.78557750046796,18
II_second_deriv_mean,0.6456052191040641,0.5321366853025915,-0.11346853380147259,0.11346853380147259,-17.57552919745019,19
II_first_deriv_mean,0.5920790215525265,0.4819359722608709,-0.11014304929165553,0.11014304929165553,-18.602761669251507,20
II_spectral_flatness,0.14475509932340702,0.25236578609212296,0.10761068676871594,0.10761068676871594,74.3398244326826,21
II_qrs_power,0.22444293002947757,0.11888843163990782,-0.10555449838956975,0.10555449838956975,-47.02954926166622,22
II_hrv_std_rr,0.18670612964499772,0.0815497638602354,-0.10515636578476233,0.10515636578476233,-56.321860416893834,23
II_mean_crossing_rate,0.00703656866168528,0.10609439596148962,0.09905782729980434,0.09905782729980434,1407.7575399985103,24
II_zero_crossing_rate,0.00703656866168528,0.10609439596148962,0.09905782729980434,0.09905782729980434,1407.7575399985103,25
II_zero_crossing_count,0.00703656866168516,0.10609439596148948,0.09905782729980432,0.09905782729980432,1407.7575399985342,26
II_hrv_nn50,0.3869868068512918,0.3003588665191646,-0.08662794033212717,0.08662794033212717,-22.385243831588973,27
II_hrv_cv,0.2927025733604991,0.20772574387845338,-0.08497682948204571,0.08497682948204571,-29.03180128462845,28
II_hr_max,0.27807431427994106,0.19465519581577156,-0.0834191184641695,0.0834191184641695,-29.998857913281235,29
II_dominant_power_2,0.11073333351253462,0.028128061069442562,-0.08260527244309206,0.08260527244309206,-74.59837950163674,30
II_amplitude_range,0.22017247506488302,0.138189668170049,-0.08198280689483403,0.08198280689483403,-37.23572023861686,31
II_first_deriv_std,0.23381609879297913,0.1525820310783419,-0.08123406771463723,0.08123406771463723,-34.742717930564396,32
II_hrv_sd_ratio,0.1564633278088911,0.07552054959722572,-0.08094277821166539,0.08094277821166539,-51.73274740698249,33
II_hr_range,0.2518418057882759,0.17465898732674953,-0.07718281846152639,0.07718281846152639,-30.647341567970987,34
II_amplitude_median,1.2870340071376516,1.2136100678126849,-0.07342393932496671,0.07342393932496671,-5.70489504644526,35
II_q50,1.2870340071376516,1.2136100678126849,-0.07342393932496671,0.07342393932496671,-5.70489504644526,36
II_hrv_mad_rr,0.09287537735623087,0.1652330703553924,0.07235769299916152,0.07235769299916152,77.90837031403865,37
II_clinical_power,0.0298872617675275,0.10213984719870185,0.07225258543117435,0.07225258543117435,241.75043452099155,38
II_spectral_entropy,0.3545249761306086,0.2860638531095607,-0.06846112302104795,0.06846112302104795,-19.31066289008532,39
II_permutation_entropy,0.534058091549528,0.4670562010221611,-0.06700189052736688,0.06700189052736688,-12.545805704473143,40
II_hf_norm,0.4198742262881114,0.354138399509804,-0.06573582677830736,0.06573582677830736,-15.656075711954834,41
II_kurtosis,0.4818491799913766,0.4212911692599563,-0.06055801073142031,0.06055801073142031,-12.5678351719798,42
II_mse_scale_2,0.07071255675347325,0.014770766338668341,-0.05594179041480491,0.05594179041480491,-79.11153676810821,43
II_hrv_median_rr,0.04121010547542806,0.09570776609341104,0.05449766061798298,0.05449766061798298,132.24343848921794,44
II_second_deriv_std,0.14482848988495656,0.0959166770765536,-0.048911812808402955,0.048911812808402955,-33.77223142593246,45
II_peak_max_height,0.24070047905236922,0.19325138633122216,-0.04744909272114706,0.04744909272114706,-19.71291992780398,46
II_amplitude_max,0.24070047905236922,0.19325138633122216,-0.04744909272114706,0.04744909272114706,-19.71291992780398,47
II_hf_power,0.14936999009479934,0.1963942026790173,0.04702421258421796,0.04702421258421796,31.4817002551127,48
II_qrs_norm,0.32459642177102865,0.37055308856973657,0.04595666679870791,0.04595666679870791,14.158094083048086,49
II_dominant_freq_1,0.10260015806917926,0.1478231972370414,0.04522303916786215,0.04522303916786215,44.076968276494334,50
II_amplitude_mad,0.049006344771670915,0.005279941567826977,-0.04372640320384394,0.04372640320384394,-89.22600393550437,51
II_shannon_entropy,0.17595391527700943,0.21926265044462606,0.04330873516761663,0.04330873516761663,24.613680846385673,52
II_hrv_triangular_index,0.28662406091618636,0.24361957310852717,-0.0430044878076592,0.0430044878076592,-15.003795443827247,53
II_dominant_freq_2,0.014386806879630402,0.055504454902325126,0.04111764802269473,0.04111764802269473,285.8010681655162,54
II_q25,0.0625025527699901,0.025668449150280624,-0.03683410361970948,0.03683410361970948,-58.93215865330672,55
II_hrv_csi,0.09603456311524194,0.05922410028053912,-0.03681046283470282,0.03681046283470282,-38.33043188023843,56
II_hrv_iqr_rr,0.0710210360729431,0.034573395644896934,-0.03644764042804617,0.03644764042804617,-51.319499675128135,57
II_hrv_rmssd,0.12904019342725548,0.16425307807543643,0.03521288464818095,0.03521288464818095,27.288307375905624,58
II_dominant_freq_3,0.059420122149503304,0.026173100168777715,-0.033247021980725586,0.033247021980725586,-55.95246310857851,59
II_hrv_sd2,0.031066338416435975,0.001643362345963462,-0.029422976070472513,0.029422976070472513,-94.71015084351178,60
II_hrv_csvi,0.07262043574645902,0.044573284483676825,-0.02804715126278219,0.02804715126278219,-38.62156834486938,61
II_dominant_power_3,0.09704643268108325,0.1218516778941952,0.02480524521311195,0.02480524521311195,25.56018238101288,62
II_spectral_centroid,0.15927000915200487,0.13604197948721697,-0.023228029664787903,0.023228029664787903,-14.584057459327052,63
II_hrv_cvi,0.23508961571268414,0.21210077032558025,-0.022988845387103884,0.022988845387103884,-9.778758329088024,64
II_q75,0.029592895031177357,0.0066453995040162165,-0.02294749552716114,0.02294749552716114,-77.54393554750575,65
II_r_peak_count,0.16158917627555863,0.14063137975168458,-0.020957796523874056,0.020957796523874056,-12.96980218227293,66
II_first_deriv_max,1.1093825111149387,1.088880842513381,-0.020501668601557776,0.020501668601557776,-1.8480252207244012,67
II_hrv_tinn,0.05941260322628848,0.04026720160447556,-0.01914540162181292,0.01914540162181292,-32.224478561675134,68
II_hrv_range_rr,0.059412603226287886,0.04026720160447586,-0.019145401621812025,0.019145401621812025,-32.224478561673955,69
II_amplitude_mean,0.17958033630351017,0.19829044549692987,0.0187101091934197,0.0187101091934197,10.418796160053292,70
II_rr_count,0.12766893243654215,0.11129680448265131,-0.01637212795389084,0.01637212795389084,-12.823893510039893,71
II_hr_min,0.05589986799398552,0.042261895924145414,-0.013637972069840104,0.013637972069840104,-24.39714535088047,72
II_total_power,0.1869141033659413,0.17510857610135272,-0.011805527264588583,0.011805527264588583,-6.316017382144594,73
II_peak_std_height,0.5775027717306721,0.5861620970002218,0.008659325269549711,0.008659325269549711,1.4994430662384226,74
II_dominant_power_1,0.5862387400977067,0.5783421606385862,-0.007896579459120479,0.007896579459120479,-1.3469903842344824,75
II_hrv_sdsd,0.26239171123093563,0.25487723949212093,-0.007514471738814699,0.007514471738814699,-2.863837314333927,76
II_hrv_sd1,0.2623917112309351,0.25487723949212115,-0.0075144717388139215,0.0075144717388139215,-2.863837314333637,77
II_mse_mean,0.1309351149766811,0.137039754811302,0.006104639834620923,0.006104639834620923,4.662339687138771,78
II_peak_mean_distance,0.8580626254191345,0.859867181358092,0.0018045559389575638,0.0018045559389575638,0.21030585475807126,79
II_iqr,0.010412652490854494,0.008630282126658732,-0.0017823703641957622,0.0017823703641957622,-17.117351689628354,80
II_cv,0.004417843213785361,0.0035634047855591868,-0.0008544384282261745,0.0008544384282261745,-19.340623185073127,81
II_amplitude_std,3.899016569705269e-16,1.4795351198621904e-16,-2.4194814498430784e-16,2.4194814498430784e-16,-0.0002419472016281597,82
II_rms,3.371972492965275e-16,1.0244229107988281e-16,-2.347549582166447e-16,2.347549582166447e-16,-0.00023475416663205217,83
II_variance,5.994838092230183e-17,1.0032517973444626e-16,4.037679881214443e-17,4.037679881214443e-17,4.037677460692178e-05,84
II_lf_norm,0.0,0.0,0.0,0.0,0.0,85
II_lf_power,0.0,0.0,0.0,0.0,0.0,86
II_lf_hf_ratio,0.0,0.0,0.0,0.0,0.0,87
